riddle,choice0,choice1,choice2,choice3,choice4,label
猜出一半 （打五字常言俗语）,留得青山在,君子不立危墙之下,识时务者为俊杰,一息尚存,君子不立危墙之下,0
换班时要关机 （打一成语）,不可开交,闹,势均力敌,焦头烂额,剑拔弩张,0
面貌动作全像人，就是不穿衣和裙，深山老林去采果，山洞里边来安身。 （打一动物）,番鸭,赤狐,知了,大海雀,斑驴,2
这是一个小纸袋，酸甜苦辣藏在内，有人看了咧嘴笑，有人看完掉眼泪 （打一物）,贺卡,烟盒,一沓,信封,箱子,4
后天再说 （打一成语）,不清不楚,信口开河,含糊其辞,隐晦,明明白白,2
三伏天打哆嗦 （打一成语）,在所不辞,胜利在望,中年,好景不长,笑眯眯,0
皇上盖房 （打一成语）,牛人,打拼,大亨,商业帝国,白手起家,4
大花朵，香又艳，紫白鲜红多灿烂，美丽高贵花中王，初夏争相展容颜。 （打一花卉名）,蜀葵,海棠花,水仙,芍药,牡丹,4
合起来搞，堪称一流 （打二字称谓）,大师,古武者,赌术,身怀绝技,高手,0
太岁的历史 （古书名一）,聊斋志异,红楼梦,石头记,程乙本,高鹗,3
长着尖尖嘴，是鸟不会飞；全身黑白配，集体跳下水。 （打一动物）,红袋鼠,北极熊,企鹅,非洲动物,海豹,2
样似野鸭，雄雌凑一家，夫妻好融洽。 （打一动物）,短尾猴,狼犬,天鹅,鸟儿,大熊猫,2
石头山，石头地，打了几转才出去。 （打一物）,辘轳,碾子,石磨,捣臼,碓窝,2
空袭警报 （打一成语）,一鸣惊人,成名,翘楚,后来居上,初露锋芒,0
师未出而身先死 （打一成语）,占山为王,杀人灭口,亡命之徒,打家劫舍,盗匪,2
忍者自找苦吃 （打一成语）,难能可贵,耐人寻味,含蓄,恰如其分,寓意深长,1
处子嫁个无能婿 （打一成语）,操之过急,人弃我取,不破不立,否极泰来,置于死地而后生,2
日月行天 （打成语一）,长虑顾后,笔下超生,当门抵户,来去分明,交淡若水,3
闯王族谱 （打一成语）,自成一家,陈言务去,转益多师,融会贯通,博采众长,0
白天是只银梨儿，晚上变成金梨儿，不香不甜没味儿，中间有根亮丝儿。 （打一电器）,电风扇,燃气灶,吊扇,电铃,微波炉,3
一朵葵花真奇怪，海水里面开起来，颜色美丽并不乖，小鱼小虾是它菜。 （打一动物）,山羊绒,勇,跳蛛,龙,鬣狗,3
红红脸蛋像苹果，切开里面汁儿多。生吃熟食都可以，酸酸甜甜就是我。 （打一蔬菜）,藕,干辣椒,卷心菜,胡椒,茨菇,0
白发公公种芝麻，不用锄头用脚爬。 （打一动物）,狼獾,蚯蚓,菜青虫,双峰骆驼,巴哥,1
问女何所思 （打一外国名著）,动物故事,傲慢与偏见,简爱,格林童话,爱情笔记,2
一架小飞机，飞东又飞西，来去三五里，捉虫保田地。 （打一动物）,瓢虫,透明的翅膀,蜻蜓,蝴蝶,低飞,2
茎秆直立长细毛，长长穗子空心苗。 （打一植物）,梧桐,吊兰,苦楝,薄荷,夜来香,1
小小姑娘穿旗袍，随风起舞乐逍遥。 （打一昆虫）,疥螨,甜菜夜蛾,虱子,布谷鸟,甜菜夜蛾,2
三笑 （美术电影）,猪妈妈琼琼,快乐的数字,新版猫和老鼠,烽烟图,李信与红娘子,1
头顶双叉二记，身穿八卦仙衣，喜的是小雨淋淋，怕的是青天白日。 （打一动物）,蜗牛,青蛙,屎壳郎,小瓢虫,乌龟,1
病去如抽丝 （打四字口语）,别紧张,脚踩两只船,信得过,辛辛苦苦,一本正经,3
独坐八卦阵，谁来把网投。 （打一动物）,羚羊,蠓虫,动物园里,灵猫,雕,0
千门万户日 （打成语一）,言行一致,不正之风,有板有眼,客气,交淡若水,0
考察敦煌古迹 （打成语一）,孤掌难鸣,胜负已定,坐收渔利,置身事外,作壁上观,4
头戴红缨帽，身披绿战袍，站着打秋千，巧跟逗人笑。 （打一动物）,青蛙,八哥,狗,猫头鹰,鹦鹉,2
高个子，瘦又长，开绿花，结红粮。 （打一植物）,串红,橄榄,青萝卜,地黄,枫树,0
头上光秃秃，打它笑哈哈，说它功夫好，肚里无啥啥。 （打一物）,笛子,十八罗汉,撞钟,法鼓,木鱼,0
供赏珍品失记载 （打一成语）,伸手不见五指,拖泥带水,神经刀,戏谑,少妇,0
活动地盘在墙壁，专门收拾飞蚊虫，尾断无碍会再生，医学名称是守宫（打一动物名）,壁虎,大老鼠,蜘蛛,一条蛇,蜈蚣,0
先修十字街，后造八卦台，主人中堂坐，恭候客人来 （打一动物）,虫,怪物,蜘蛛,蜥蜴,蝎子,4
幼主 （报刊名）,小说林,连环画报,中国校园文学,星星诗刊,东方少年,4
阳关三叠曲 （打一古文篇目）,出师表,三国演义,别赋,徐文长传,深虑论,2
十八除以三 （中药名）,大蓟,木通,射干,商陆,泽漆,1
青雨伞，紫竹柄，生窝小猪满田坑。 （打一植物）,芋头,萝卜,南瓜,香菇,红薯,2
姑娘爱着麒麟装，颗颗芝麻肚里藏。 （打一水果）,香瓜,番荔枝,红果,红果,水蜜桃,0
九泉相识鼓上蚤 （打一成语）,命途多舛,内忧外患,生不逢时,天妒英才,大器晚成,2
白娘子被禁 （打一成语）,一语双关,明知故问,委婉,欲盖弥彰,弦外之音,1
有座桥，不算高，你上我下真热闹。上桥一级一级爬，坐着一溜就下桥。 （打一物）,海洋球,积木,蹦蹦床,滑滑梯,跷跷板,3
影楼拒拍黑白片 （打一成语）,喜气洋洋,素面朝天,光彩照人,东方女性,白里透红,1
之乎者也，望而却步 （打四字古典名著）,曾国藩全书,论语,曾国藩全书,论语,古文观止,4
说它是牛有翅膀，两根辫子比身长，危害果木实在坏，人们叫它锯树郎。 （打一动物）,蟾蜍,瓢虫,黑蚁,马蜂,天牛,4
土地公·转珠格 （中药名）,大腹皮,球序卷耳,竹篙,米曲,泡姜,1
展翅飞翔万里行，双双慧眼识归程，千载沧桑功犹在，传递讯息献忠心。 （打一飞行动物）,雏鸡,雀鹰,信鸽,伯劳,伯劳,2
春风得意染春山 （打一成语）,含笑,喜上眉梢,高升,马到成功,乐不可支,1
一个老头真希奇，坐在屋檐下编笊篱。 （打一动物）,怪物,蜥蜴,虫,蝎子,蜘蛛,2
郎君面前宽宽心 （植物名）,莲,阆苑,芙蓉,秋月,海棠,4
主峰继续往上升 （打成语一）,人欢马叫,无穷无尽,连蹦带跳,相貌堂堂,迫不得已,1
小儿王 （四字电影）,青春万岁,碧海丹心,一个和八个,高考1977,虎穴追踪,0
浪峰上的爱 （歌曲名）,山水情,小蝌蚪找妈妈,明月千里寄相思,敢问路在何方,游子吟,0
像白糖，不能尝，撒田里，多打粮。 （打一物）,小麦,化肥,除草剂,农药,水稻,0
加班计划 （打一成语）,吞吞吐吐,原原本本,全盘托出,一五一十,郑重其事,3
直上重九 （聊斋志异篇目）,马介甫,李伯言,孙有胜,耿十八,方月娥,3
语言技巧 （打二字中药名）,香附,黄芩,白术,甘草,当归,2
说话和气 （打一成语）,说三道四,那些破事,造谣中伤,风言风语,疑神疑鬼,0
木兰 （商标品牌商号）,东芝,爱立信,丰田,富士通,toshiba,1
丈夫不循私 （打一称谓）,浮财,调解人,班长,大老粗,烫头,3
尼罗河流域 （打一成语）,打定主意,是非之地,划清界限,节外生枝,危机重重,1
天上一轮才捧出 （中药名）,瓦松,马唐,人参再造丸,松节,鬼藤,2
全国人民搞计划生育 （保健食品）,汇仁肾宝,脑白金,中华鳖精,方便面,太太乐,2
重度早泄 （打一成语）,大显身手,胜利在望,一触即发,蠢蠢欲动,硝烟四起,2
青梗绿叶子，无花结果子，滋味像江南橘子，颜色像湖南枣子。 （打一植物）,牵牛花,银耳,扁豆,荸荠,三叶草,4
毛皮大衣风雪帽，屁股挎着指挥刀，东郭老人曾相救，遇小羊它不会饶。 （打一动物）,狐猴,苍蝇,食蚁兽,泻药,开塞露,4
十尺汉子 （打一称谓）,明星,执子之手，与子偕老,道士,日本人,横祸,3
红包袱，包梳子，柱子里面藏珠子。 （打一植物）,海棠,海带,白梅,匡威,粮食作物,1
生在鸡家湾，嫁到竹家滩，向来爱干净，常逛灰家山。 （打一常用物）,烟杆,鸡毛掸子,扫帚,拖把,柴刀,2
挑战无时不在 （打一成语）,已经死了,江湖相见,坐怀不乱,性命交关,从长计议,3
把玫瑰写成了百合 （打一歌曲名）,红颜劫,郎的诱惑,三国恋,花田错,四季歌,2
幸灾乐祸 （打一古文篇名）,迂腐,筑室,移家,得过且过,而已,3
鲁达刁难郑屠户 （打一成语）,求全责备,挑肥拣瘦,残羹冷饭,精打细算,斤斤计较,0
没手也没脚，红嘴一身毛，吃在肚里好味道。 （打一水果）,桃子,沙果,小菠萝,西瓜,草莓,0
小马个不高，有脚不会跑，宝宝骑上去，前后摇啊摇。 （打一娱乐设施）,钓鱼链接,稻草人,炸弹,稻草人,炸弹,1
家兄者钱也 （中药名）,昆布,墨鱼,日式高汤,味噌酱,海带,0
刀出鞘弓上弦 （打成语一）,内讧,骚乱,剑拔弩张,不可开交,如临大敌,2
针炙行家，猜谜能手。 （打一成语）,步步为营,稳扎稳打,后发制人,一鼓作气,蚕食,2
要问海洋有多深，人们肉眼看不到，用我接受超声波，海底返回便知道。 （打一物）,探照灯,无线电导航设备,回声测深仪,陀螺罗盘,激光手术刀,2
身不满五尺，面目丑陋，头脑可笑。 （打一成语）,闷声不响,大模大样,鬼头鬼脑,怒气冲冲,径自,1
再三吻张生 （打一成语）,六亲不认,顺我者昌逆我者亡,人面兽心,神憎鬼厌,睚眦必报,0
铭记除夕应归根 （打一树名）,枫树,乌桕,鹅掌楸,鹅掌楸,乌桕,1
十指不沾泥，粼粼居大厦。 （打一成语）,牛人,商业帝国,大亨,打拼,白手起家,4
死结 （打一成语）,三下五除二,当头棒喝,暴富,唯利是图,老衲,0
太太对错要点出 （打一成语）,盛名之下，其实难副,所向无敌,逃之夭夭,不依不饶,扬名立万,1
大眼睛，亮晶晶，尾巴长，翅膀轻，飞来飞去捉蚊蝇。 （打一动物）,低飞,蝴蝶,蜻蜓,瓢虫,透明的翅膀,1
薄薄一张口，能啃硬骨头。吃肉不喝汤，吃瓜不嚼豆。 （打一日常用品）,砧板,木棍,菜刀,斧头,锅铲,2
幼时味美正好尝，大时做笛把歌唱，老时拿来撑船用，长年漂流江河上。 （打一植物）,金鱼草,红枣,核桃,红薯,刺儿菜,0
二王逝后，膺品层出 （动物名）,虎斑,点翠,玳瑁,鹦鹉,紫貂,2
浪子骂皇帝 （打成语一）,硬干,人微言轻,九天之上,近水楼台,以蠡测海,3
中午 （打一成语）,夜夜笙歌,寻花问柳,半文半白,漂亮女人,文武双全,0
古来它能传书信，如一如人群飞行。 （打一动物）,蜂猴,假如爱有天意,刺猬,鸭,百兽之王,0
说马不像马，路上没有它。若用它做药，要到海中抓（打一动物名）,沙虫,水母,海马,章鱼,龟,2
肚里有洞又有丝，稍稍洗净就能吃。 （打一植物）,苎麻,猴头菇,菖蒲,包谷粑,野蒿,0
败绩连连心犯愁 （打一成语）,肩,防患未然,徒有其表,当场出丑,一走了之,4
策坐骑而逃 （打一成语）,占山为王,张家长李家短,外强中干,债台高筑,颓唐,0
三生有誓总难忘 （打一称谓）,辛斌,国际在线,经济日报,特约记者,参考消息,3
生来朴素不华丽，一年四季穿黑衣，身子经常沾白粉，有人帮助来擦去。 （打一物）,作业本,黑板,班主任,电脑键盘,草稿纸,1
电子计算机 （打成语一）,八九不离十,信得过,底细,了如指掌,心中有数,0
方圆黑白 （打一成语）,旁敲侧击,期期艾艾,命途多舛,妍皮不裹痴骨,历史基因,2
非常希望乌云散 （打一成语）,永葆,离人心上秋,乐此不疲,唏嘘不已,谈何容易,4
金乌坠玉免升 （打成语一）,全神贯注,夜以继日,不辞辛苦,精益求精,勤勤恳恳,3
少壮肯努力 （打一成语）,风度翩翩,拉人下水,公告天下,累卵之危,得心应手,4
己巳年里人跃进 （中药名）,高粱,暖壶,车前子,冰片,鹰嘴,2
江楼翼瓦齐 （四字电影）,世外桃园,游江,拉拉渡,水上人家,庭院深深,3
100%动力 （打一成语）,检修,重型卡车,推土机,夜以继日,开足马力,4
烂泥菩萨 （打一成语）,婆婆妈妈,闷葫芦,爱计较,没出息,死心眼儿,0
嘴小架子大，让人背着它，首长作决策，它把命令下。 （打一物）,中国金融,缝合,塑料杯子,分子运动论,撬杠,2
退潮看见珊瑚礁 （打一成语）,绳之以法,身败名裂,真相大白,对质,水落石出,4
闭门 （打俗语三字）,后台很硬,势利小人,挖墙脚,关系户,领导亲信,3
清宫禁地无晴日 （打成语一）,满城风雨,众矢之的,家丑,流言四起,沸沸扬扬,0
发明纸片黏合剂 （打三字外科用药）,纱布,纱布,纱布,指甲刀,指甲刀,3
一个大懒汉，夜间到处窜，人人都害怕，只喜偷灯油。 （打一动物）,蚬子,白鹭,动物园里,黄蜂,犀,4
白衬衣，黑大褂，走起路来摇啊摇，冰天雪地也不怕。 （打一动物）,红袋鼠,非洲动物,企鹅,北极熊,海豹,2
一一松绑 （打一成语）,偏私,异彩纷呈,退路,闲谈,令人作呕,0
小家伙叫花大姐，身披花甲藏于叶。 （打一动物）,驴,勇,鹌鹑,乌鸦,羚羊,4
体形瘦长似狐狸，布满斑块条纹理，浑身发香称香狸，非洲产它最名气。 （打一动物）,雪貂,白狼,灵猫,赤狐,猞猁,2
现在住的是首套房 （打一成语）,出人意料,邀买,投畀豺虎,慌慌忙忙,当头一棒,0
尖嘴尖耳尖下巴，细腿细角细小腰，生性狡猾多猜疑，尾后拖着一丛毛（打一动物名）,蚕,龙虾,梅花鹿,鸳鸯,乌龟,0
踏雪寻梅 （打一称谓）,可兰经,临时代办,亲炙,驾驶员,权力移交,2
元 （打一俗语四字）,有两下子,心说,小白脸,那家伙,名不虚传,0
保险柜 （打一成语）,泰山压顶,旋风,铜墙铁壁,疯狂冲击,稳如磐石,2
吴国太：“玄德何时来迎亲”？ （打一成语）,鼻祖,诛灭,当头一棒,目不识丁,孤立无援,3
于我何干 （打一成语）,关公面前耍大刀,追根究底,土匪窝,目不转睛,活出幸福,0
一见如故，念念不忘。 （中药名）,松茸蘑,制香附,闹羊花,僵蚕,王不留行,4
生在树上是青的，落在地上是黄的，不用刀削是圆的，不放蜜糖是甜的。 （打一植物）,柠檬草,风信子,花生,泡姜,蔸,2
袭人无心思过失 （打三字歌曲名）,三国恋,花田错,郎的诱惑,红颜劫,四季歌,1
白柄子，青条子，扁东西，像带子。 （打一植物）,辣椒,芹菜,大蒜,茄子,洋葱,3
三个娃娃一般大，年龄相加整十八，别看他们年纪小，消灭害虫威力大。 （打一物）,蚊香,ddt,鞭炮,对硫磷,六六六,0
后羿谢日 （打一成语）,识人不清,毫无怨言,事已至此,雕梁画柱,拍案叫绝,2
无始无终 （打一成语）,剖析,绝处逢生,夹道欢迎,依然如故,挑刺儿,1
像糖不是糖，像盐不是盐，人畜不能吃，庄稼吃着甜 （农用物）,水稻,农药,除草剂,小麦,化肥,3
叫鹅不是鹅，海岛上生活，冰天雪地里，玩得真快乐。 （打一动物）,珍稀动物,乌鸦,小瓢虫,海雀,巧取豪夺,3
请勿索取 （打成语一）,无从下手,若有所失,不得要领,颠三倒四,搜肠刮肚,0
夜久语声绝 （打一成语）,草菅人命,无语,亡族,畛域,恻隐之心,1
指点芭蕉列翠屏 （聊斋志异篇目）,美人心计,花田喜事,龙门飞甲,画壁,海棠,3
肚子大，脑瓜小，胸前有对大镰刀，别看样子长得笨，捕捉呱呱叫。 （打一动物）,疥螨,河马,泥鳅,蝴蝶,兔子耳朵,3
长得又高又大，大球头上悬挂，球外棉衣裹身，只在南方安家。 （打一水果）,灵芝,巧克力蛋糕,海棠,芭蕉,石榴,4
一位绅士真耐寒，冰天雪地不取暖，白色衬衣黑礼服，走起路来爱摇摆。 （打一动物）,海豹,红袋鼠,非洲动物,北极熊,企鹅,3
听见 （打一成语）,鲜少,二流子,罔顾,超级土豪,大腹便便,1
逸仙胸中事，时铭华夏情 （古籍）,楚辞,诗品,画论,人间词话,文心雕龙,4
一代更比一代强 （打俗语三字）,永田铁山,军界,总参谋长,少壮派,走马上任,3
弹着琵琶出门去 （打一成语）,耍阴谋,居心叵测,挑拨离间,搬弄是非,借刀杀人,3
西出阳关无故人 （打一成语）,别开生面,盛会,端午诗词,深入浅出,耳目一新,0
武大郎设宴 （打一成语）,胜友如云,门庭若市,把酒言欢,杯觥交错,高朋满座,4
乔迁小巷起纠纷 （打一成语）,纵横沙场,历史叙述,肝胆相照,排除万难,兴奋不已,3
身披一件金丝绒，聪明美丽惹人宠，手是脚来脚是手，爬高上树好威风。 （打一动物）,珍稀动物,盘羊,金丝猴,大熊猫,白唇鹿,2
铁身铁长臂，专把重物提，能短也能长，能高也能低。 （打一物）,三弦,回声测深仪,绚烂,胗,回声测深仪,0
面友 （打一成语）,时过境迁,粗制滥造,耍一手,祸从口出,稀稀拉拉,3
注意两侧 （打成语一）,无措,小心翼翼,忐忑不安,羞涩,郑重其事,1
鸿画马，伯乐来相。 （打一成语）,传看,雕,新生力量,新西兰国会大厦,时过境迁,1
长长往下垂，一身绿军装，质脆而身软，夏天到处见。 （打一植物）,头昏眼晕,艾草,水草,秋风,酸角,1
细细身体长又长，身後背着四面旗，斗大眼睛照前方，专除害虫有助益 （打一动物）,透明的翅膀,蝴蝶,瓢虫,低飞,蜻蜓,1
不倒翁 （打一成语）,银样镴枪头,推襟送抱,屡试不第,人臣,老生常谈,1
一只绵羊四只角，白天饿来夜里饱。夏天出来放放风，冬天回到老家中。 （打一生活用品）,床架,被子,凉席,棉毯,蚊帐,4
珍爱吴钩少年时 （打一成语）,操戈入室,隔墙有耳,错上加错,四海为家,不打自招,4
日产千金 （中国电影）,草原恋,吕梁英雄传,鬼丈夫,月光摇篮曲,太阳的女儿,4
春来人不在 （打一成语）,懵懵懂懂,便宜行事,一网打尽,漂泊流离,明知故问,4
出身是女流，未曾上高楼，只为身怀珠宝，隐蔽不敢出头。 （打一动物）,螃,蚌,龟,鳖,螺,4
母系社会之特征 （中国电影）,白了少年头,西沙儿女,步步高升,化身姑娘,光明行,1
人约黄昏后 （打一范玮琪歌名）,偏见,是是非非,问题少年,黑暗面,边缘人,3
室内写生 （打一称谓）,插队落户,书生,瑶瑶,国际在线,小谢,1
身体笔直，小时可吃，老离故土，供人晒衣。 （打一植物）,满天星,紫灵,藕,香蕉,豆类作物,2
远远看去好似猫，行近看清连忙跑。 （打一动物）,蛹,蚕蛾,长尾巴,雀鹰,狒狒,2
身黑像木炭，腰插两把扇，往前走一步，就得扇一扇。 （打一动物）,黄雀,狗,玉兰,沙蟹,花鳗鲡,1
背后还有一个背，腿边还有四条腿，走路睡觉用不着，看书写字它要陪。 （打一家居）,墙,长凳,办公桌,门,墙,1
为一千克纠结 （打一成语）,出口伤人,斤斤计较,精打细算,鸡毛蒜皮,小家子气,1
漫步西单 （三字电影）,举目无亲,梦红颜,拜火教徒,另起炉灶,红河谷,4
一棵小树刺满身，体态好像巴掌伸，原本住在沙窝里，如今盆栽四季青。 （打一植物）,吊兰,含羞草,仙人掌,盆栽,植物,4
像糖味不甜，像盐味不咸，放到田间去，禾苗笑开颜。 （打一物）,脱掉,抽屉,桌子,草稿纸,椅子,0
为师一生未跳槽 （打一成语）,顶风作案,错上加错,寻衅滋事,屡教不改,知法犯法,3
七·卷帘格 （中药名）,高鳍红箭,五灵脂,蒲公英,天麻,桑菊饮,3
一生为官廉当先 （打一古籍）,左传,论衡,史记,志怪,礼记,4
横一条，竖一条，高一条，低一条，你走你的路，我跑我的道。 （打一建筑物）,喜来登,立交桥,红绿灯,楼梯,屋脊,3
前有毒夹，后有尾巴，全身二十一节，中药铺要它（打一动物名）,蜥蜴,蛇,狼人,蝎子,牛头,3
渡江测试 （报刊名）,网游之镖局,新技能get,路牌,聪明泉,信使,4
搜肠刮肚难得谜 （打一唐诗目）,枫桥夜泊,寻隐者不遇,山居秋暝,渭川田家,滁州西涧,1
身子只有一寸长，毛毛细刺身上长，若不小心碰到手，哎哟疼得准喊娘。 （打一动物）,土球子,天牛郎,花大姐,刺毛虫,黄鼬,3
大部分是好的 （打俗语三字）,胡搅蛮缠,得算,嘲笑,打哈哈,靠不住,4
一生不落叶，叫人帮脱衣。 （打一植物）,大豆,黄豆芽,豌豆苗,灵芝,黑瓜子,3
马后炮·卷帘格 （动物名）,短吻鳄,响尾蛇,微型导弹,信天翁,蜘蛛,1
一只顺风船，白蓬红船头，划起两只桨，湖上四处游（打一动物名）,负鼠,犀牛,鹦鹉,操戈入室,雉鸡,1
屋内一间房，有门没有窗，春风吹不进，四季冰凉凉。 （打一家用电器）,热水器,电冰箱,油汀,油汀,电冰箱,1
他曲未通，我意已通。 （打一称谓）,谈判专家,森林警察,小菜鸟,岳母,关山月,0
坏事全与己无关 （打一成语）,严阵以待,甘受,拉人下水,彼此欣赏,漂亮姑娘,2
异性兄弟 （打三字称谓）,追星族,随行就市,隔行如隔山,非主流,媳妇儿,4
一角 （打一俗语三字）,守活寡,单着,老姑娘,有出息,打光棍,4
明明齐国神仙种，仿佛眉山伯仲间 （药名）,地砖,生地黄,生地黄,苏合,蚊帐,3
小小身子钢骨架，有圆有扁满身牙，遇有不平就出场，哪怕它是铁疙瘩。 （打一物）,锉刀,锯子,刮削,刃口,老虎钳,1
猜谜更使人生慧 （打一中草药名）,桔梗,参三七,白术,消乳,白小娘,1
头戴红缨帽，身穿绿战袍，说话像人语，你说它就学。 （打一动物）,八哥,狗,青蛙,猫头鹰,鹦鹉,1
不露脸 （食品）,小饼干,味精,白糖,鸡蛋糕,豆角,3
生在无锡街中，自小生来称公公，不怕英雄，只怕孩童。 （打一物）,敲鼓,陀螺,秤砣,木偶,不倒翁,4
棒责 （打俗语三字）,老姑娘,打光棍,单着,守活寡,有出息,1
童话剧 （打一成语）,置之不顾,轻率,兹事体大,视同儿戏,犯上作乱,3
象牙床，红绫被，绿官娘子在里睡。 （打一植物）,丁香,桂花,花菜,大丽花,爬山虎,1
唯愿铁甲千斤沉，何须细腰掌中轻 （七字俗语）,生搬硬套,生搬硬套,只重衣衫不重人,眉毛胡子一把抓,泛泛而谈,2
虎年谈虎 （打一成语）,风言风语,造谣中伤,说三道四,疑神疑鬼,那些破事,3
海上一只鸟，跟着船儿跑。冲浪去抓鱼，不怕大风暴（打一动物名）,鸬鹚,白鹭,水鸟,海鸥,野鸭,2
琴房 （打一成语）,言行相诡,唯愿,待人以诚,博采众长,累卵之危,3
瞎子吃混沌 （打一谚语）,底细,八九不离十,信得过,心中有数,了如指掌,1
只识弯弓射大雕 （打二字称谓）,师叔,剑圣,吉时,教官,影视明星,1
故乡 （中草药名）,当归,桂枝,黄芩,熟地,苍术,0
一群废物 （打中药名一）,通草,土茯苓,枇杷叶,当归,芦根,0
就图个团团圆圆 （打一成语）,占理,一波未平一波又起,风声鹤唳,土匪窝,遗臭,0
三强只到过俄国 （打一成语）,列女操,软骨头,沽名钓誉,隔三差五,拉呱,3
残花弄影夕阳下，独揽斜竿扬小帆 （中药）,昆布,墨鱼,海带,日式高汤,味噌酱,1
终于谈到阿Q （打成语一）,一睹为快,别着急,言归正传,大家说,今天我,0
单行道 （打成语一）,守株待兔,成双作对,精神抖擞,阴阳怪气,情话绵绵,1
得了皮肤病，夫人心烦闷。 （打一成语）,回老家,似是而非,难兄难弟,头头是道,欺人之谈,2
十艺九不成 （打一成语）,花枝招展,食不甘味,吾身,一鼓作气,可有可无,4
一物有三个口，一个口进，两个口出。 （打一物）,土炕,头饰,小全张,凉席,鼻梁,4
烂毛里搀猪毛（打一成语）,吝啬,因时制宜,人声鼎沸,无微不至,虚怀若谷,3
矮子穿长袍（打一成语）,过得去,明媒正娶,荒郊旷野,引火烧身,一溜烟,1
像棉不是棉，名字蛮新鲜，石油提练出，抽丝在车间 （化学制品）,涤纶,化学纤维,人造丝,棉花,无纺布,3
曹雪芹著书，无钱买灯油。 （打一成语）,想得美,滑天下之大稽,白日做梦,省省吧,贪心不足,4
粮棉增产 （打成语一）,丰衣足食,富贵荣华,安居乐业,自力更生,小康水平,0
拍马屁拍到马腿上 （打一成语）,安于现状,眼高手低,一事无成,自命不凡,穷二代,1
羊肠小道 （鸟名）,翠鸟,鹭鸶,野鸭,鸬鹚,白鹤,4
客人随后跟 （打成语一）,旦夕之间,死而复生,死心塌地,龙马精神,极致奢华,0
身披鳞甲色红黄，不做羹来不做汤，四海虽大非吾愿，半缸清水过时光。 （打一水下动物）,金鱼,青蛙,锦鲤,小鸭子,蝌蚪,0
生财有道 （打一成语）,饱食终日,疯疯颠颠,心灰意懒,穷极无聊,不务正业,0
老公和老婆 （打一成语）,夫唱妇随,佳偶,天作之合,亲上加亲,琴瑟和谐,0
十个男儿九粗心 （打一成语）,昏庸,英主,雄才大略,千古一帝,足智多谋,2
开花不与我商量 （打一成语）,不知好歹,先斩后奏,怪罪,临时起意,自作主张,0
中国人从此站起来 （打一农谚）,芒种,二月二,大地回春,龙抬头,大地回春,1
生成乌龟样，披件红衣裳，趁人不防备，爬来抽血浆。 （打一动物）,大海雀,虫子,死射,千里光,蚬子,4
少年爱作大人貌 （三字俗称谓）,小白脸,兄弟呀,未婚夫,未婚夫,未婚夫,0
周游列国广见识 （报刊名）,细作,芒种,中央公园,雅俗共赏,文学少年,4
说他是条牛，无法拉车走，说他力气小，却能背屋跑（打一动物名）,蜗牛,屎壳郎,乌龟,小瓢虫,青蛙,0
外面着麻衣，里面着红衣，当中一个白小子。 （打一植物）,花生,南瓜籽,蚕豆,腰果,核桃,2
不忍伤害老上级 （打一成语）,时间问题,杀人灭口,安民告示,更新换代,目不转睛,1
小小巧巧，红顶毡帽，油绿箭衣，广纱外套。 （打一动物）,蚊子,蚂蚁,瓢虫,老鼠,苍蝇,1
滂沱大雨能见度低 （打一成语）,下落不明,被害,已经死了,全军覆没,安然无恙,0
生死轮回 （打一成语）,生来死去,缘起缘灭,尘归尘土归土,梦幻泡影,人事有代谢,0
弃文就武 （打一成语）,一路平安,生死恋,雄才大略,烧麦,出名,0
个个不提寒心事 （打一成语）,日思夜想,居家过日子,生怕,不切实际,五大三粗,3
头顶金冠披黑衫，静静坐在水中央，弯着长脖左右瞧，展翅飞翔到蓝天。 （打一动物）,啄木鸟,斑林狸,海东青,蚕豆,汪,2
娘死三年才生我，我死三年娘还在，是木头又不能生火，是耳朵又不会听话。 （打一植物）,香菇,海带,豆腐皮,木耳,菠菜,0
细长身子滑又溜，把家它在泥里头，下雨之前吹泡泡，帮助你来测气候。 （打一动物）,淡菜,肤轻松,鹦鹉,短吻鳄,猩猩,1
一样悲欢逐逝波 （打一四字常言）,出头鸟,替死鬼,将计就计,借花献佛,顺水人情,4
风云密布 （打一成语）,虎虎生威,裘弊金尽,踏步不前,卓尔不群,逃生之路,3
金乌海底初飞来学校 （称谓职务）,护士,山西家信,省长,参军,奖状,0
撑起绿旗，披上蓑衣，呆头呆脑，藏在泥里。 （打一植物）,香菇,芋头,萝卜,红薯,南瓜,2
关胜迎战黑旋风 （打一成语）,铁腕,打破常规,拨乱反正,大刀阔斧,改头换面,2
远看像土豆，近看毛茸茸，好吃不好玩，像个小猴头。 （打一水果）,桑葚,山竹,龙眼,胡柚,荔枝,2
长得又高又瘦，身上有骨没肉，常年不穿衣裤，两头却钉纽扣。 （打一物）,背篓,箢子,扁担,箩筐,锄头,0
一对黑母鸡，吃泥不吃米，雨天吃得饱，晴天饿肚皮。 （打一物）,雨鞋,伞,打赤脚,棉袜,袖套,1
一网悬半空，主人坐网中，专捉飞来将，捕蝇吃蚊虫。 （打一动物）,蝎子,蜥蜴,虫,怪物,蜘蛛,4
阮氏三雄 （三字电影）,平起平坐,老资格,呼风唤雨,人才济济,小字辈,4
